RefID,Region,Project,Location,Est Cost $M,2022-23,2023-24,0-5,5-10,0-10,0-15,10-15,15+,Sub Sector,Enabling Infrastructure,Challenge / Opportunity,Industry Sector,Category,cost_num,cost_imputed,log_cost,h_2022-23,h_2023-24,h_0-5,h_5-10,h_0-10,h_0-15,h_10-15,h_15+,short_term,ABS_Population,region_area_km2,pop_density,log_pop_density,cost_per_cap,log_cost_per_cap,is_funded,is_near_term,is_remote,n_horizons
0o21,Greater Darwin,Marrara – new residential estate in two stages,"-12.404, 130.9104",●,,●,,,●,,,,Housing,Land Infrastructure,Provide innovative infill housing options and create a safe and vibrant place for people to enjoy,Housing,P,,5.3,0.724275869600789,0,1,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.034756605394487466,0.03416623519191331,0,1,0,2
8k07,Greater Darwin,Museum and Art Gallery of the Northern Territory (MAGNT) - air-conditioning upgrade,"-12.43762, 130.83310",●,,,,●,,,,,Arts Trail,Social Infrastructure,"Value, preserve and expand historic, cultural meeting places, increase visitation opportunities and user experience",Tourism,P,,5.3,0.724275869600789,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.034756605394487466,0.03416623519191331,0,0,0,1
8k62,Greater Darwin,Arts and Museums collection storage expansion for Northern Territory Government collecting institutions,"-15.000,129.0811",55,,,,,,●,,,Arts Trail,Social Infrastructure,"Preservation, protection and accessibility of collections",Tourism,P,55.0,55.0,1.7403626894942439,0,0,0,0,0,1,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.36068175409373787,0.3079858639190229,0,0,0,1
9e36,Greater Darwin,Batchelor Area School - upgrade primary school infrastructure ,"-12.4792, 130.985",1,,,,●,,,,,Education and Training,Social Infrastructure,Upgrade ageing infrastructure to support the continued delivery of quality education,Education and Training,P,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.0065578500744315985,0.006536440923328649,0,0,0,1
533,Greater Darwin,Bees Creek School - new classroom block,"-12.5803, 131.0551",3,,,,●,,,,,Education and Training,Social Infrastructure,Contemporary educational infrastructure to support growth in population and student enrolments,Education and Training,P,3.0,3.0,0.47712125471966244,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.019673550223294794,0.019482527268940633,0,0,0,1
2s11,Greater Darwin,"Berry Springs Nature Park - upgrade and refresh swimming entries, including limited mobility access ","-12.7219, 131.0103",●,,,,,●,,,,"Sporting, Recreation, Lifestyle",Social Infrastructure,"Value, preserve and expand access to parks, increase visitation opportunities and visitor experience","Sporting, Recreation, Lifestyle",P,,5.3,0.724275869600789,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.034756605394487466,0.03416623519191331,0,0,0,1
0s2,Greater Darwin,Bushfires Headquarters - final stage,"-12.73081, 131.068497",4,,,,,,●,,,Justice and Public Safety,Social Infrastructure,Provide for effective emergency response and improve community safety,Justice and Public Safety,P,4.0,4.0,0.6020599913279624,0,0,0,0,0,1,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.026231400297726394,0.02589325767163791,0,0,0,1
0f7,Greater Darwin,Casuarina - Education and Training Unit - refit Cascom 2B,"-12.3738, 130.8814",1.1,,1,●,,,,,,Education and Training,Social Infrastructure,"Improve Territory Families, Housing and Community services",Education and Training,P,1.1,1.1,0.04139268515822508,0,0,1,0,0,0,0,0,1,152489.0,3213,47.46000622471211,3.8807388438388895,0.007213635081874758,0.007187741267442747,0,0,0,1
9e29,Greater Darwin,Casuarina Senior College - upgrade block A ,"-12.3738, 130.8814",3,,,,●,,,,,Education and Training,Social Infrastructure,Upgrade ageing infrastructure to support the continued delivery of quality education,Education and Training,P,3.0,3.0,0.47712125471966244,0,0,0,1,0,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.019673550223294794,0.019482527268940633,0,0,0,1
8e01,Greater Darwin,Casuarina Senior College - upgrade block E ,"Casuarina Senior College, NT Australia",3,,,,,●,,,,Education and Training,Social Infrastructure,Upgrade ageing infrastructure to support the continued delivery of quality education,Education and Training,P,3.0,3.0,0.47712125471966244,0,0,0,0,1,0,0,0,0,152489.0,3213,47.46000622471211,3.8807388438388895,0.019673550223294794,0.019482527268940633,0,0,0,1
